ticker,cik,formType,filedAt,filingUrl
AMAT,6951,10-K,2023-12-15T16:01:24-05:00,https://www.sec.gov/Archives/edgar/data/6951/000000695123000041/amat-20231029.htm
DE,315189,10-K,2023-12-15T10:27:39-05:00,https://www.sec.gov/Archives/edgar/data/315189/000155837023019812/de-20231029x10k.htm
AVGO,1730168,10-K,2023-12-14T16:54:05-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm
DIS,1744489,10-K,2023-11-21T17:04:04-05:00,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000216/dis-20230930.htm
ADI,6281,10-K,2023-11-21T16:24:08-05:00,https://www.sec.gov/Archives/edgar/data/6281/000000628123000203/adi-20231028.htm
SBUX,829224,10-K,2023-11-17T17:31:27-05:00,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/sbux-20231001.htm
V,1403161,10-K,2023-11-15T16:07:14-05:00,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm
AAPL,320193,10-K,2023-11-02T18:08:27-04:00,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
QCOM,804328,10-K,2023-11-01T16:10:50-04:00,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/qcom-20230924.htm
ACN,1467373,10-K,2023-10-12T06:54:36-04:00,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000324/acn-20230831.htm
COST,909832,10-K,2023-10-10T19:13:15-04:00,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm
CSCO,858877,10-K,2023-09-07T16:30:09-04:00,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm
INTU,896878,10-K,2023-09-01T16:08:03-04:00,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/intu-20230731.htm
PG,80424,10-K,2023-08-04T16:16:13-04:00,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm
ADP,8670,10-K,2023-08-03T16:49:01-04:00,https://www.sec.gov/Archives/edgar/data/8670/000000867023000030/adp-20230630.htm
MSFT,789019,10-K,2023-07-27T16:01:56-04:00,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
NKE,320187,10-K,2023-07-20T16:20:36-04:00,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
MDT,1613103,10-K,2023-06-22T16:32:12-04:00,https://www.sec.gov/Archives/edgar/data/1613103/000161310323000040/mdt-20230428.htm
